                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                0.74047,                 4.3251,                 1.1098,                0.32298,                0.05759,                0.07623,                0.05409,                0.90899,                 4.4815,                  1.115,             1.3841e-05,             1.3841e-05,             1.3841e-05
                     34,                0.76578,                 4.3038,                 1.1217,                0.33475,                0.05715,                0.07891,                0.05616,                0.91008,                 4.4622,                 1.1099,             1.3429e-05,             1.3429e-05,             1.3429e-05
                     35,                0.74306,                 4.2511,                 1.1121,                0.34096,                0.06082,                0.07805,                0.05585,                0.90559,                 4.4533,                 1.1111,             1.3018e-05,             1.3018e-05,             1.3018e-05
                     36,                0.79337,                 4.2259,                 1.1322,                0.34873,                0.06326,                0.07926,                0.05591,                0.91887,                 4.4315,                 1.1332,             1.2607e-05,             1.2607e-05,             1.2607e-05
                     37,                0.74143,                 4.2415,                 1.0881,                0.32695,                0.07884,                0.08407,                0.05922,                0.90873,                 4.4304,                 1.1242,             1.2196e-05,             1.2196e-05,             1.2196e-05
                     38,                0.77112,                 4.1604,                 1.1225,                0.33419,                0.07907,                0.08499,                0.05999,                0.91804,                 4.4181,                 1.1281,             1.1784e-05,             1.1784e-05,             1.1784e-05
                     39,                0.77321,                 4.1979,                 1.1167,                0.33514,                 0.0806,                0.08381,                0.05899,                0.90888,                 4.4001,                 1.1237,             1.1373e-05,             1.1373e-05,             1.1373e-05
                     40,                0.76227,                 4.0993,                 1.1168,                 0.3277,                0.07785,                0.08352,                0.05926,                0.91289,                 4.4055,                  1.125,             1.0962e-05,             1.0962e-05,             1.0962e-05
                     41,                  0.765,                 4.1521,                 1.1209,                  0.344,                 0.0762,                0.08289,                0.05989,                0.91895,                 4.4035,                 1.1211,             1.0551e-05,             1.0551e-05,             1.0551e-05
                     42,                 0.7597,                 4.1346,                 1.1159,                0.35901,                0.07425,                0.08495,                0.06097,                 0.9209,                  4.375,                 1.1271,              1.014e-05,              1.014e-05,              1.014e-05
                     43,                0.74551,                 4.0748,                 1.1084,                0.37278,                0.06648,                0.08331,                0.06024,                0.92779,                 4.3727,                 1.1255,             9.7283e-06,             9.7283e-06,             9.7283e-06
                     44,                0.76516,                 4.1299,                 1.1169,                0.37477,                 0.0662,                0.08339,                0.06026,                0.92076,                 4.3575,                 1.1279,             9.3171e-06,             9.3171e-06,             9.3171e-06
                     45,                0.73019,                 4.1121,                  1.101,                0.35076,                0.07401,                0.08295,                0.05994,                 0.9196,                 4.3619,                 1.1293,             8.9058e-06,             8.9058e-06,             8.9058e-06
                     46,                0.75265,                 4.1175,                 1.1049,                0.35536,                0.06568,                0.08436,                0.06074,                0.91345,                 4.3521,                 1.1256,             8.4946e-06,             8.4946e-06,             8.4946e-06
                     47,                0.76507,                 4.0716,                 1.1223,                0.35352,                0.06721,                0.08338,                0.06044,                0.92016,                 4.3588,                 1.1259,             8.0834e-06,             8.0834e-06,             8.0834e-06
                     48,                0.74479,                 4.0574,                  1.098,                0.37964,                0.06553,                0.08493,                0.06185,                0.91436,                 4.3407,                 1.1322,             7.6722e-06,             7.6722e-06,             7.6722e-06
                     49,                0.80287,                 4.1241,                 1.1426,                0.37877,                0.06601,                0.08616,                0.06279,                0.92203,                 4.3274,                 1.1351,             7.2609e-06,             7.2609e-06,             7.2609e-06
                     50,                0.73331,                 4.0347,                 1.1003,                0.35445,                0.07423,                0.08639,                0.06264,                0.92273,                  4.337,                 1.1362,             6.8497e-06,             6.8497e-06,             6.8497e-06
                     51,                0.76291,                 4.0153,                 1.1265,                0.36743,                0.07299,                 0.0876,                0.06234,                0.92766,                 4.3418,                 1.1373,             6.4385e-06,             6.4385e-06,             6.4385e-06
                     52,                0.76689,                 4.0327,                 1.1221,                0.36671,                0.07253,                0.08764,                0.06297,                0.92341,                 4.3327,                 1.1378,             6.0272e-06,             6.0272e-06,             6.0272e-06
                     53,                0.76426,                 4.0294,                  1.107,                0.36635,                 0.0716,                0.08839,                0.06235,                0.92359,                 4.3221,                 1.1411,              5.616e-06,              5.616e-06,              5.616e-06
                     54,                0.71271,                 4.0505,                 1.0914,                0.36757,                0.07273,                0.08781,                0.06251,                0.93719,                 4.3228,                 1.1469,             5.2048e-06,             5.2048e-06,             5.2048e-06
                     55,                0.74196,                 4.0195,                 1.1095,                 0.3807,                0.07227,                0.08854,                 0.0627,                0.92689,                 4.3115,                 1.1416,             4.7935e-06,             4.7935e-06,             4.7935e-06
                     56,                0.92986,                 4.2078,                 1.1923,                0.41275,                0.08436,                0.09145,                0.06506,                0.98641,                 4.3549,                 1.1848,             4.3823e-06,             4.3823e-06,             4.3823e-06
                     57,                0.93918,                 4.1277,                 1.1722,                0.42615,                0.08078,                0.09202,                0.06534,                 0.9783,                 4.3326,                 1.1767,             3.9711e-06,             3.9711e-06,             3.9711e-06
                     58,                0.94168,                 4.1025,                  1.205,                 0.4304,                0.07954,                0.09208,                0.06608,                0.96909,                 4.3181,                 1.1685,             3.5598e-06,             3.5598e-06,             3.5598e-06
                     59,                0.90409,                 4.0392,                 1.2032,                0.43039,                0.08069,                0.09259,                0.06649,                0.96836,                 4.3069,                 1.1733,             3.1486e-06,             3.1486e-06,             3.1486e-06
                     60,                0.91231,                 4.0508,                 1.1716,                0.44499,                0.07644,                0.09253,                0.06684,                0.95658,                  4.296,                 1.1682,             2.7374e-06,             2.7374e-06,             2.7374e-06
                     61,                0.90249,                 4.0445,                 1.1711,                0.43414,                0.07621,                 0.0932,                0.06707,                 0.9598,                 4.2865,                 1.1664,             2.3262e-06,             2.3262e-06,             2.3262e-06
                     62,                0.92279,                 4.0607,                 1.1831,                 0.4173,                0.08289,                0.09187,                0.06594,                0.95652,                 4.2801,                 1.1637,             1.9149e-06,             1.9149e-06,             1.9149e-06
                     63,                0.88227,                 3.9529,                 1.1628,                0.41643,                0.08284,                0.09117,                0.06584,                0.95199,                  4.284,                 1.1603,             1.5037e-06,             1.5037e-06,             1.5037e-06
                     64,                 0.8912,                 4.0618,                 1.1696,                0.44723,                0.07374,                0.09314,                0.06729,                0.94616,                 4.2773,                  1.162,             1.0925e-06,             1.0925e-06,             1.0925e-06
                     65,                0.91454,                 4.0463,                 1.1708,                 0.4098,                0.08235,                0.09284,                0.06757,                0.95258,                 4.2837,                 1.1651,             6.8123e-07,             6.8123e-07,             6.8123e-07
